Date,Commodity,Mandi,State,ArrivalQty,ModalPrice
01/01/2024,Potato,Agra,Uttar Pradesh,118500,1120
01/01/2024,Potato,Kanpur,Uttar Pradesh,92800,1080
01/01/2024,Potato,Patna,Bihar,75200,1050
08/01/2024,Potato,Agra,Uttar Pradesh,115200,1100
08/01/2024,Potato,Kanpur,Uttar Pradesh,90100,1060
08/01/2024,Potato,Patna,Bihar,73500,1030
15/01/2024,Potato,Agra,Uttar Pradesh,122800,1140
15/01/2024,Potato,Kanpur,Uttar Pradesh,96200,1100
15/01/2024,Potato,Patna,Bihar,78100,1070
22/01/2024,Potato,Agra,Uttar Pradesh,120100,1120
22/01/2024,Potato,Kanpur,Uttar Pradesh,93900,1080
22/01/2024,Potato,Patna,Bihar,76400,1050
29/01/2024,Potato,Agra,Uttar Pradesh,124500,1160
29/01/2024,Potato,Kanpur,Uttar Pradesh,97500,1120
29/01/2024,Potato,Patna,Bihar,79200,1090
05/02/2024,Potato,Agra,Uttar Pradesh,128200,1240
05/02/2024,Potato,Kanpur,Uttar Pradesh,100400,1200
05/02/2024,Potato,Patna,Bihar,81800,1170
12/02/2024,Potato,Agra,Uttar Pradesh,131500,1280
12/02/2024,Potato,Kanpur,Uttar Pradesh,103100,1240
12/02/2024,Potato,Patna,Bihar,83900,1210
19/02/2024,Potato,Agra,Uttar Pradesh,129800,1260
19/02/2024,Potato,Kanpur,Uttar Pradesh,101800,1220
19/02/2024,Potato,Patna,Bihar,82600,1190
26/02/2024,Potato,Agra,Uttar Pradesh,126400,1240
26/02/2024,Potato,Kanpur,Uttar Pradesh,99100,1200
26/02/2024,Potato,Patna,Bihar,80700,1170
04/03/2024,Potato,Agra,Uttar Pradesh,134200,1400
04/03/2024,Potato,Kanpur,Uttar Pradesh,105200,1360
04/03/2024,Potato,Patna,Bihar,85700,1330
11/03/2024,Potato,Agra,Uttar Pradesh,138500,1440
11/03/2024,Potato,Kanpur,Uttar Pradesh,108600,1400
11/03/2024,Potato,Patna,Bihar,88400,1370
18/03/2024,Potato,Agra,Uttar Pradesh,136800,1420
18/03/2024,Potato,Kanpur,Uttar Pradesh,107200,1380
18/03/2024,Potato,Patna,Bihar,87200,1350
25/03/2024,Potato,Agra,Uttar Pradesh,135200,1400
25/03/2024,Potato,Kanpur,Uttar Pradesh,106000,1360
25/03/2024,Potato,Patna,Bihar,86300,1330
01/04/2024,Potato,Agra,Uttar Pradesh,128500,1280
01/04/2024,Potato,Kanpur,Uttar Pradesh,100700,1240
01/04/2024,Potato,Patna,Bihar,81900,1210
08/04/2024,Potato,Agra,Uttar Pradesh,124200,1240
08/04/2024,Potato,Kanpur,Uttar Pradesh,97300,1200
08/04/2024,Potato,Patna,Bihar,79200,1170
15/04/2024,Potato,Agra,Uttar Pradesh,121800,1220
15/04/2024,Potato,Kanpur,Uttar Pradesh,95400,1180
15/04/2024,Potato,Patna,Bihar,77700,1150
22/04/2024,Potato,Agra,Uttar Pradesh,119500,1200
22/04/2024,Potato,Kanpur,Uttar Pradesh,93700,1160
22/04/2024,Potato,Patna,Bihar,76300,1130
29/04/2024,Potato,Agra,Uttar Pradesh,122400,1220
29/04/2024,Potato,Kanpur,Uttar Pradesh,95900,1180
29/04/2024,Potato,Patna,Bihar,78100,1150
06/05/2024,Potato,Agra,Uttar Pradesh,132800,1100
06/05/2024,Potato,Kanpur,Uttar Pradesh,104100,1060
06/05/2024,Potato,Patna,Bihar,84800,1030
13/05/2024,Potato,Agra,Uttar Pradesh,138500,1080
13/05/2024,Potato,Kanpur,Uttar Pradesh,108600,1040
13/05/2024,Potato,Patna,Bihar,88400,1010
20/05/2024,Potato,Agra,Uttar Pradesh,142200,1060
20/05/2024,Potato,Kanpur,Uttar Pradesh,111500,1020
20/05/2024,Potato,Patna,Bihar,90800,990
27/05/2024,Potato,Agra,Uttar Pradesh,145800,1040
27/05/2024,Potato,Kanpur,Uttar Pradesh,114300,1000
27/05/2024,Potato,Patna,Bihar,93100,970
03/06/2024,Potato,Agra,Uttar Pradesh,148200,1020
03/06/2024,Potato,Kanpur,Uttar Pradesh,116200,980
03/06/2024,Potato,Patna,Bihar,94600,950
10/06/2024,Potato,Agra,Uttar Pradesh,150500,1000
10/06/2024,Potato,Kanpur,Uttar Pradesh,118000,960
10/06/2024,Potato,Patna,Bihar,96100,930
17/06/2024,Potato,Agra,Uttar Pradesh,152100,980
17/06/2024,Potato,Kanpur,Uttar Pradesh,119300,940
17/06/2024,Potato,Patna,Bihar,97200,910
24/06/2024,Potato,Agra,Uttar Pradesh,149800,960
24/06/2024,Potato,Kanpur,Uttar Pradesh,117400,920
24/06/2024,Potato,Patna,Bihar,95800,890
